root,indicative_present_2p_s,indicative_present_1p_s,indicative_present_1p_p,indicative_present_3p_s,indicative_present_3p_p,indicative_preterite_2p_s,indicative_preterite_1p_s,indicative_preterite_1p_p,indicative_preterite_3p_s,indicative_preterite_3p_p,indicative_imperfect_2p_s,indicative_imperfect_1p_s,indicative_imperfect_1p_p,indicative_imperfect_3p_s,indicative_imperfect_3p_p,indicative_conditional_2p_s,indicative_conditional_1p_s,indicative_conditional_1p_p,indicative_conditional_3p_s,indicative_conditional_3p_p,indicative_future_2p_s,indicative_future_1p_s,indicative_future_1p_p,indicative_future_3p_s,indicative_future_3p_p,perfect_present_2p_s,perfect_present_1p_s,perfect_present_1p_p,perfect_present_3p_s,perfect_present_3p_p,perfect_past_2p_s,perfect_past_1p_s,perfect_past_1p_p,perfect_past_3p_s,perfect_past_3p_p
parecer,pareces,pareco,parecemos,parece,parecen,pareciste,parecí,parecimos,pareció,parecieron,parecías,parecía,parecíamos,parecía,parecían,parecerías,parecería,pareceríamos,parecería,parecerían,parecerás,pareceré,pareceremos,parecerá,parecerán,has parecido,he parecido,hemos parecido,ha parecido,han parecido,habías parecido,había parecido,habíamos parecido,había parecido,habían parecido
obligar,obligas,obligo,obligamos,obliga,obligan,obligaste,obligé,obligamos,obligó,obligaron,obligabas,obligaba,obligábamos,obligaba,obligaban,obligarías,obligaría,obligaríamos,obligaría,obligarían,obligarás,obligaré,obligaremos,obligará,obligarán,has obligado,he obligado,hemos obligado,ha obligado,han obligado,habías obligado,había obligado,habíamos obligado,había obligado,habían obligado
saber,sabes,sé,sabemos,sabe,saben,supiste,supe,supimos,supo,supieron,sabías,sabía,sabíamos,sabía,sabían,saberías,sabería,saberíamos,sabería,saberían,sabrás,sabré,sabremos,sabrá,sabrán,has sabido,he sabido,hemos sabido,ha sabido,han sabido,habías sabido,había sabido,habíamos sabido,había sabido,habían sabido
doler,dueles,duelo,dolemos,duele,duelen,doliste,dolí,dolimos,dolió,dolieron,dolías,dolía,dolíamos,dolía,dolían,dolerías,dolería,doleríamos,dolería,dolerían,dolerás,doleré,doleremos,dolerá,dolerán,has dolido,he dolido,hemos dolido,ha dolido,han dolido,habías dolido,había dolido,habíamos dolido,había dolido,habían dolido
poder,puedes,puedo,podemos,puede,pueden,pudiste,pude,pudimos,pudo,pudieron,podías,podía,podíamos,podía,podían,podrías,podría,podríamos,podría,podrían,poderás,poderé,poderemos,poderá,poderán,has podido,he podido,hemos podido,ha podido,han podido,habías podido,había podido,habíamos podido,había podido,habían podido
despertar,despertas,desperto,despertamos,desperta,despertan,despertaste,desperté,despertamos,despertó,despertaron,despertabas,despertaba,despertábamos,despertaba,despertaban,despertarías,despertaría,despertaríamos,despertaría,despertarían,despertarás,despertaré,despertaremos,despertará,despertarán,has despertado,he despertado,hemos despertado,ha despertado,han despertado,habías despertado,había despertado,habíamos despertado,había despertado,habían despertado
gustar,gustas,gusto,gustamos,gusta,gustan,gustaste,gusté,gustamos,gustó,gustaron,gustabas,gustaba,gustábamos,gustaba,gustaban,gustarías,gustaría,gustaríamos,gustaría,gustarían,gustarás,gustaré,gustaremos,gustará,gustarán,has gustado,he gustado,hemos gustado,ha gustado,han gustado,habías gustado,había gustado,habíamos gustado,había gustado,habían gustado
trabajar,trabajas,trabajo,trabajamos,trabaja,trabajan,trabajaste,trabajé,trabajamos,trabajó,trabajaron,trabajabas,trabajaba,trabajábamos,trabajaba,trabajaban,trabajarías,trabajaría,trabajaríamos,trabajaría,trabajarían,trabajarás,trabajaré,trabajaremos,trabajará,trabajarán,has trabajado,he trabajado,hemos trabajado,ha trabajado,han trabajado,habías trabajado,había trabajado,habíamos trabajado,había trabajado,habían trabajado
amar,amas,amo,amamos,ama,aman,amaste,amé,amamos,amó,amaron,amabas,amaba,amábamos,amaba,amaban,amarías,amaría,amaríamos,amaría,amarían,amarás,amaré,amaremos,amará,amarán,has amado,he amado,hemos amado,ha amado,han amado,habías amado,había amado,habíamos amado,había amado,habían amado
dar,das,doy,damos,da,dan,diste,di,dimos,dio,dieron,dabas,daba,dábamos,daba,daban,darías,daría,daríamos,daría,darían,darás,daré,daremos,dará,darán,has dado,he dado,hemos dado,ha dado,han dado,habías dado,había dado,habíamos dado,había dado,habían dado
